Model Year,Mfr Name,Division,Carline,Eng Displ,# Cyl,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify.,Carline Class Desc
2015,Toyota,SCION,tC,2.5,4,23,31,26,Gasoline (Regular Unleaded Recommended),2000,2000,Compact Cars
2015,Subaru,Subaru,IMPREZA,2,4,28,37,31,Gasoline (Regular Unleaded Recommended),1700,1700,Compact Cars
2015,Subaru,Subaru,IMPREZA,2,4,25,34,28,Gasoline (Regular Unleaded Recommended),1900,1900,Compact Cars
2015,Subaru,Subaru,WRX,2,4,19,25,21,Gasoline (Premium Unleaded Recommended),2700,2700,Compact Cars
2015,Subaru,Subaru,WRX,2,4,21,28,24,Gasoline (Premium Unleaded Recommended),2400,2400,Compact Cars
2015,Subaru,Subaru,WRX,2.5,4,17,23,19,Gasoline (Premium Unleaded Required),3000,3000,Compact Cars
2015,Toyota,TOYOTA,PRIUS c,1.5,4,53,46,50,Gasoline (Regular Unleaded Recommended),1050,1050,Compact Cars
2015,Toyota,TOYOTA,YARIS,1.5,4,30,36,32,Gasoline (Regular Unleaded Recommended),1650,1650,Compact Cars
2015,Toyota,TOYOTA,YARIS,1.5,4,30,37,33,Gasoline (Regular Unleaded Recommended),1600,1600,Compact Cars
2015,Volkswagen Group of,Volkswagen,Beetle,1.8,4,25,33,28,Gasoline (Regular Unleaded Recommended),1900,1900,Compact Cars
2015,Volkswagen Group of,Volkswagen,Beetle,1.8,4,24,33,27,Gasoline (Regular Unleaded Recommended),1950,1950,Compact Cars
2015,Volkswagen Group of,Volkswagen,Beetle,2,4,24,30,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,Volkswagen Group of,Volkswagen,Beetle,2,4,23,31,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,Volkswagen Group of,Volkswagen,CC,2,4,22,31,25,Gasoline (Premium Unleaded Recommended),2300,2300,Compact Cars
